keyword,category,search_volume,cpc,competition,vol_12mo_avg,vol_12mo_min,vol_12mo_max
digital inheritance,digital-legacy,20,,LOW,19.2,10,40
digital estate plan template,digital-legacy,40,5.63,MEDIUM,36.7,10,70
what happens to instagram account when you die,digital-legacy,20,,LOW,14.2,10,20
what happens to twitter account when you die,digital-legacy,,,,,,
what happens to netflix account when you die,digital-legacy,,,,,,
what happens to amazon account when you die,digital-legacy,,,,,,
deceased person social media accounts,digital-legacy,,,,,,
closing accounts after death checklist,digital-legacy,,,,,,
how to report a death to facebook,digital-legacy,90,,LOW,98.3,70,140
memorial account instagram,digital-legacy,40,,LOW,39.2,20,50
digital afterlife,digital-legacy,170,,LOW,167.5,110,210
password inheritance planning,digital-legacy,,,,,,
google account after death,digital-legacy,20,,LOW,14.2,10,20
manage a deceased loved one's account google,digital-legacy,,,,,,
microsoft account after death,digital-legacy,,,,,,
linkedin account after death,digital-legacy,,,,,,
how to delete a deceased person's linkedin,digital-legacy,,,,,,
tiktok account after death,digital-legacy,,,,,,
who owns digital assets after death,digital-legacy,,,,,,
digital executor,digital-legacy,170,2.4,LOW,164.2,110,260
what is a digital executor,digital-legacy,50,6.82,LOW,47.5,30,70
naming a digital executor,digital-legacy,,,,,,
estate plan for digital assets,digital-legacy,40,1.11,LOW,34.2,10,90
cryptocurrency inheritance,digital-legacy,10,,,10.0,0,20
how to leave crypto to heirs,digital-legacy,,,,,,
crypto wallet inheritance,digital-legacy,,,,,,
photos after death icloud,digital-legacy,,,,,,
google photos after someone dies,digital-legacy,,,,,,
venmo account after death,digital-legacy,,,,,,
paypal account after death,digital-legacy,,,,,,
closing venmo account of deceased,digital-legacy,,,,,,
digital life after death planning,digital-legacy,,,,,,
online accounts inventory for estate,digital-legacy,,,,,,
executor checklist,executor-longtail,140,1.99,MEDIUM,147.5,110,170
executor of estate checklist,executor-longtail,260,2.15,MEDIUM,242.5,170,390
executor checklist pdf,executor-longtail,170,5.19,LOW,167.5,110,260
how to settle an estate,executor-longtail,170,4.85,LOW,166.7,140,210
how to settle an estate checklist,executor-longtail,,,,,,
estate settlement checklist,executor-longtail,90,2.7,LOW,85.8,50,140
settling an estate after death,executor-longtail,70,3,LOW,67.5,40,140
settling an estate checklist,executor-longtail,90,2.7,LOW,85.8,50,140
executor duties,executor-longtail,720,1.01,MEDIUM,707.5,480,880
executor duties checklist,executor-longtail,90,1.45,LOW,95.8,30,170
being an executor,executor-longtail,10,,MEDIUM,11.7,10,20
being an executor of a will,executor-longtail,40,2.51,MEDIUM,40.0,20,70
executor of a will responsibilities,executor-longtail,480,1.28,MEDIUM,527.5,480,720
how long does probate take,executor-longtail,3600,2.32,LOW,4066.7,3600,4400
how long does probate take on average,executor-longtail,10,,LOW,10.0,10,10
probate without a lawyer,executor-longtail,90,9.86,MEDIUM,90.0,40,170
how to do probate without a lawyer,executor-longtail,70,5.32,MEDIUM,80.0,50,110
first steps as executor of estate,executor-longtail,,,,,,
what to do first as an executor,executor-longtail,,,,,,
executor timeline,executor-longtail,,,,,,
executor of estate timeline,executor-longtail,,,,,,
executor checklist first 30 days,executor-longtail,,,,,,
how to be an executor step by step,executor-longtail,,,,,,
executor of estate step by step guide,executor-longtail,,,,,,
probate checklist,executor-longtail,170,6.31,LOW,171.7,140,260
probate process checklist,executor-longtail,,,,,,
how to notify beneficiaries,executor-longtail,,,,,,
notifying beneficiaries of estate,executor-longtail,,,,,,
how to value estate assets,executor-longtail,,,,,,
estate inventory checklist,executor-longtail,10,2.02,LOW,10.8,0,20
executor of estate forms,executor-longtail,590,6.49,MEDIUM,565.8,480,720
executor bond,executor-longtail,90,17.55,MEDIUM,95.8,40,140
do i need an executor bond,executor-longtail,,,,,,
how to resign as executor,executor-longtail,10,,LOW,10.0,10,10
co-executor disputes,executor-longtail,,,,,,
sibling disputes over estate,executor-longtail,,,,,,
executor deadline probate,executor-longtail,,,,,,
how soon do you have to file probate after death,executor-longtail,,,,,,
executor of estate no will,executor-longtail,260,13.53,LOW,291.7,170,480
how to become administrator of estate,executor-longtail,170,2.64,LOW,152.5,140,170
settling parents estate,executor-longtail,,,,,,
settling a parent's estate checklist,executor-longtail,,,,,,
estate closing checklist,executor-longtail,10,1.5,MEDIUM,10.0,10,10
how to close an estate step by step,executor-longtail,,,,,,
executor of estate first steps,executor-longtail,,,,,,
what happens after probate is granted,executor-longtail,20,0.06,LOW,21.7,10,30
how to transfer assets after probate,executor-longtail,,,,,,
final accounting of estate,executor-longtail,140,2.48,LOW,125.8,90,170
estate accounting checklist,executor-longtail,,,,,,
executor fee calculator,executor-longtail,90,0.08,LOW,81.7,50,110
how much should an executor charge,executor-longtail,10,,LOW,10.0,10,10
executor of will no experience,executor-longtail,,,,,,
diy executor guide,executor-longtail,,,,,,
checklist for closing a loved one's estate,executor-longtail,,,,,,
how to be an executor for the first time,executor-longtail,,,,,,
executor of estate deadlines by state,executor-longtail,,,,,,
probate deadlines checklist,executor-longtail,,,,,,
what an executor needs from a lawyer,executor-longtail,,,,,,
do i need a probate lawyer,executor-longtail,320,5.12,MEDIUM,291.7,170,480
executor personal liability,executor-longtail,10,,LOW,8.3,0,10
executor liable for estate debts,executor-longtail,,,,,,
probate help,guided-service,140,14.55,HIGH,145.8,70,260
help settling an estate,guided-service,10,,HIGH,10.8,0,30
help with executor duties,guided-service,,,,,,
estate settlement services,guided-service,210,3.46,LOW,209.2,140,320
estate settlement service near me,guided-service,,,,,,
executor services,guided-service,140,9.59,LOW,147.5,110,170
professional executor services,guided-service,140,7.42,MEDIUM,135.0,70,210
estate administration services,guided-service,210,1.61,LOW,235.0,170,390
estate administration company,guided-service,,,,,,
after loss concierge,guided-service,,,,,,
death doula near me,guided-service,1000,5.23,LOW,1015.0,880,1600
end of life doula,guided-service,,,,,,
end of life doula near me,guided-service,,,,,,
end of life doula cost,guided-service,170,,LOW,162.5,10,1000
bereavement services,guided-service,880,3.04,LOW,888.3,480,1900
grief concierge,guided-service,,,,,,
hire someone to settle an estate,guided-service,,,,,,
hire an executor,guided-service,30,2.9,MEDIUM,25.0,10,40
professional estate administrator,guided-service,,,,,,
estate cleanout services,guided-service,3600,12.82,LOW,3808.3,2900,4400
estate liquidation services,guided-service,1600,6.21,LOW,1431.7,880,2400
probate concierge service,guided-service,,,,,,
help closing out a loved one's affairs,guided-service,,,,,,
help with paperwork after death,guided-service,,,,,,
who can help me settle my parent's estate,guided-service,,,,,,
estate settlement company,guided-service,20,,LOW,17.5,10,70
fiduciary services for estates,guided-service,,,,,,
professional fiduciary near me,guided-service,390,15.75,HIGH,420.0,260,590
trust administration services,guided-service,480,23.45,LOW,455.0,170,720
trustee services company,guided-service,,,,,,
hire a professional trustee,guided-service,,,,,,
estate settlement attorney near me,guided-service,30,6.01,HIGH,27.5,10,50
full service estate settlement,guided-service,,,,,,
post loss services,guided-service,,,,,,
post loss support company,guided-service,,,,,,
loss and grief support services,guided-service,20,,LOW,15.8,10,30
grief coach,guided-service,1000,5.33,LOW,1089.2,590,1900
grief counselor near me,guided-service,,,,,,
grief therapist near me,guided-service,,,,,,
family estate consultant,guided-service,,,,,,
personal representative for hire,guided-service,,,,,,
estate liquidator near me,guided-service,590,4.55,LOW,604.2,320,880
who can settle an estate for me,guided-service,,,,,,
concierge service after death of parent,guided-service,,,,,,
help with funeral and estate logistics,guided-service,,,,,,
outsource executor duties,guided-service,,,,,,
estate settlement subscription service,guided-service,,,,,,
what to do with inheritance,inheritance-moment,320,4.3,LOW,317.5,260,390
inherited money what to do,inheritance-moment,20,4.78,LOW,19.2,10,30
received inheritance now what,inheritance-moment,10,,LOW,10.8,10,20
just inherited money what do i do,inheritance-moment,,,,,,
inherited ira rules,inheritance-moment,6600,2.57,MEDIUM,6783.3,4400,8100
inherited ira rmd rules,inheritance-moment,8100,1.59,LOW,7733.3,5400,12100
inheritance tax by state,inheritance-moment,2900,1.26,LOW,2950.0,2400,3600
do i pay taxes on inheritance,inheritance-moment,1600,1.54,LOW,1758.3,1300,2400
do you have to pay taxes on inherited money,inheritance-moment,1900,1.32,LOW,1800.0,1300,2400
financial advisor for inheritance,inheritance-moment,2400,,LOW,2408.3,1300,3600
sudden money advisor,inheritance-moment,10,,,0.8,0,10
sudden wealth syndrome,inheritance-moment,590,12.93,LOW,593.3,480,720
what to do when you inherit a house,inheritance-moment,70,3.03,LOW,70.0,50,110
inherited house what to do,inheritance-moment,,,,,,
sell or keep inherited house,inheritance-moment,,,,,,
how to invest inheritance money,inheritance-moment,110,9.65,LOW,112.5,70,140
inheritance windfall advice,inheritance-moment,,,,,,
large inheritance advice,inheritance-moment,10,,,4.2,0,10
inherited 401k rules,inheritance-moment,880,0.31,LOW,813.3,720,880
inherited stock cost basis,inheritance-moment,720,8.5,LOW,717.5,480,1000
step up in basis inherited property,inheritance-moment,20,0.21,LOW,25.0,10,50
inheritance planning advisor,inheritance-moment,,,,,,
what to do with a lump sum inheritance,inheritance-moment,,,,,,
inheritance advisor near me,inheritance-moment,,,,,,
how to manage a windfall,inheritance-moment,10,,LOW,10.8,10,20
capital gains on inherited property,inheritance-moment,1300,1.23,LOW,1425.0,1000,1900
what to do when a parent dies financially,inheritance-moment,,,,,,
financial checklist after parent dies,inheritance-moment,,,,,,
inherited annuity rules,inheritance-moment,170,10.3,LOW,176.7,140,260
inherited roth ira rules,inheritance-moment,1600,3.2,LOW,1766.7,1600,2400
how to split inheritance fairly,inheritance-moment,40,6.53,LOW,42.5,30,70
should i pay off debt with inheritance,inheritance-moment,,,,,,
inheritance and divorce,inheritance-moment,390,2.09,LOW,432.5,320,590
is inheritance marital property,inheritance-moment,880,2.85,LOW,869.2,590,1300
inheritance advance,inheritance-moment,590,169.54,MEDIUM,630.0,480,880
probate advance loan,inheritance-moment,50,182.47,MEDIUM,46.7,30,70
inheritance loan,inheritance-moment,390,204.65,MEDIUM,365.8,260,480
trust fund distribution advice,inheritance-moment,,,,,,
what to do with life insurance payout,inheritance-moment,70,,LOW,65.0,30,110
life insurance payout advice,inheritance-moment,,,,,,
how to invest a lump sum payout,inheritance-moment,,,,,,
wealth management after inheritance,inheritance-moment,,,,,,
financial planner after death of spouse,inheritance-moment,,,,,,
money management after losing a spouse,inheritance-moment,,,,,,
widow financial planning,inheritance-moment,70,9.2,LOW,73.3,30,140
sudden inheritance tax planning,inheritance-moment,,,,,,
who to notify when someone dies,notification-cancellation,390,0.71,LOW,393.3,320,480
who to notify when someone dies checklist,notification-cancellation,260,19.28,LOW,258.3,210,320
notify social security of death,notification-cancellation,2400,4.04,LOW,2316.7,1900,2900
how to notify social security of a death,notification-cancellation,4400,4.18,LOW,4016.7,3600,5400
notify banks of death,notification-cancellation,30,0.23,LOW,28.3,20,40
how to notify banks of a death,notification-cancellation,10,9.9,LOW,6.7,0,10
cancel subscriptions for deceased,notification-cancellation,,,,,,
cancel netflix for deceased person,notification-cancellation,,,,,,
deceased do not contact list,notification-cancellation,480,0.02,LOW,500.0,320,1000
deceased do not contact list mail,notification-cancellation,,,,,,
stop mail for deceased,notification-cancellation,170,0.03,LOW,165.0,110,260
how to stop mail for a deceased person,notification-cancellation,720,0.06,LOW,698.3,590,720
credit bureaus death notification,notification-cancellation,480,7.57,LOW,509.2,390,590
notify credit bureaus of death,notification-cancellation,480,7.57,LOW,509.2,390,590
deceased alert credit report,notification-cancellation,10,,LOW,18.3,10,90
notify equifax of death,notification-cancellation,260,16.3,LOW,270.8,210,590
notify experian of death,notification-cancellation,320,16.5,LOW,311.7,260,390
notify transunion of death,notification-cancellation,140,31.13,LOW,145.8,110,210
who to notify when a family member dies,notification-cancellation,,,,,,
cancel deceased person's driver's license,notification-cancellation,,,,,,
cancel deceased person's passport,notification-cancellation,,,,,,
notify dmv of death,notification-cancellation,110,,LOW,115.0,90,140
notify irs of death,notification-cancellation,140,6.26,LOW,137.5,110,170
notify employer of death,notification-cancellation,,,,,,
cancel deceased person's credit cards,notification-cancellation,,,,,,
cancel deceased person's phone plan,notification-cancellation,,,,,,
cancel deceased person's utilities,notification-cancellation,,,,,,
identity theft of deceased person,notification-cancellation,40,,LOW,40.0,10,90
deceased identity theft prevention,notification-cancellation,,,,,,
notify medicare of death,notification-cancellation,320,,LOW,295.8,260,390
notify medicaid of death,notification-cancellation,20,,LOW,15.8,10,20
notify va of death,notification-cancellation,210,3.51,LOW,202.5,140,260
notify pension of death,notification-cancellation,10,,LOW,10.8,10,20
notify life insurance company of death,notification-cancellation,,,,,,
notify mortgage company of death,notification-cancellation,,,,,,
notify landlord of death,notification-cancellation,,,,,,
notify hoa of death,notification-cancellation,,,,,,
notify employer 401k of death,notification-cancellation,,,,,,
cancel amazon prime deceased,notification-cancellation,,,,,,
cancel gym membership deceased,notification-cancellation,,,,,,
cancel deceased person's email subscriptions,notification-cancellation,,,,,,
who to inform when someone passes away,notification-cancellation,,,,,,
checklist of who to call when someone dies,notification-cancellation,,,,,,
death notification checklist,notification-cancellation,50,0.18,LOW,47.5,40,70
post death checklist administrative tasks,notification-cancellation,,,,,,
administrative tasks after death,notification-cancellation,,,,,,
aging parents checklist,aging-parent,140,1.99,MEDIUM,145.8,110,210
aging parent checklist pdf,aging-parent,,,,,,
how to talk to parents about estate planning,aging-parent,20,,LOW,15.8,10,20
how to talk to aging parents about their finances,aging-parent,,,,,,
getting parents affairs in order,aging-parent,,,,,,
getting elderly parents affairs in order checklist,aging-parent,,,,,,
elderly parent financial checklist,aging-parent,,,,,,
conversation with parents about death,aging-parent,,,,,,
how to talk to parents about death and dying,aging-parent,,,,,,
power of attorney for elderly parent,aging-parent,1900,5.28,LOW,2075.0,1600,2900
how to get power of attorney for elderly parent,aging-parent,590,4.53,MEDIUM,607.5,480,720
caregiver checklist aging parent,aging-parent,,,,,,
checklist for aging parents documents,aging-parent,,,,,,
what documents do i need for aging parents,aging-parent,,,,,,
aging in place checklist,aging-parent,390,4.77,LOW,376.7,260,480
elderly parent moving in checklist,aging-parent,,,,,,
questions to ask aging parents about finances,aging-parent,,,,,,
helping parents plan for end of life,aging-parent,,,,,,
documents to gather for elderly parents,aging-parent,,,,,,
how to help elderly parents organize finances,aging-parent,,,,,,
sandwich generation caregiving,aging-parent,140,,LOW,131.7,70,210
adult child caregiver checklist,aging-parent,,,,,,
when to worry about aging parent,aging-parent,,,,,,
signs elderly parent needs help,aging-parent,,,,,,
how to bring up end of life planning with parents,aging-parent,,,,,,
parents refuse to plan for end of life,aging-parent,,,,,,
estate planning conversation starters family,aging-parent,,,,,,
family meeting about parents estate,aging-parent,,,,,,
how to ask parents about their will,aging-parent,,,,,,
parents won't talk about finances,aging-parent,,,,,,
helping parents downsize checklist,aging-parent,,,,,,
elder care planning checklist,aging-parent,30,5.05,MEDIUM,29.2,10,70
long distance caregiving checklist,aging-parent,,,,,,
when parents can no longer live alone,aging-parent,,,,,,
signs it's time for assisted living,aging-parent,10,,LOW,14.2,10,40
how to plan for parents care needs,aging-parent,,,,,,
family caregiver agreement,aging-parent,90,3.82,LOW,90.8,50,140
guardianship for aging parent,aging-parent,,,,,,
conservatorship for elderly parent,aging-parent,70,1.5,LOW,76.7,50,110
transport body to another country,remains-transport,20,11.87,MEDIUM,19.2,10,40
sending remains overseas,remains-transport,,,,,,
repatriation of remains,remains-transport,260,3.16,LOW,248.3,210,320
repatriation of remains cost,remains-transport,10,,LOW,13.3,10,20
flying with cremated remains,remains-transport,260,0.22,LOW,257.5,210,320
tsa cremated remains,remains-transport,140,0.01,LOW,136.7,90,210
tsa rules cremated remains,remains-transport,,,,,,
shipping ashes internationally,remains-transport,20,39.39,LOW,15.8,10,20
taking ashes on a plane,remains-transport,320,0.37,LOW,308.3,210,390
can you fly with ashes,remains-transport,390,0.19,LOW,385.0,320,590
how to travel with cremated remains,remains-transport,40,0.06,LOW,38.3,30,40
shipping a body internationally,remains-transport,10,,LOW,9.2,0,10
international shipping of human remains,remains-transport,10,6.92,LOW,10.0,10,10
cost to ship a body overseas,remains-transport,10,,,6.7,0,10
how to transport a body across state lines,remains-transport,10,,LOW,13.3,10,30
airline policy cremated remains,remains-transport,,,,,,
mailing cremated remains usps,remains-transport,50,2.39,LOW,53.3,30,70
can you mail ashes,remains-transport,260,0.02,LOW,271.7,210,320
documents needed to transport a body internationally,remains-transport,,,,,,
consulate death abroad repatriation,remains-transport,,,,,,
death of american citizen abroad,remains-transport,10,,LOW,10.0,10,10
what to do if someone dies abroad,remains-transport,10,,,5.8,0,10
death overseas repatriation process,remains-transport,,,,,,
cost to bring a body home from another country,remains-transport,,,,,,
medical repatriation cost,remains-transport,20,11.82,LOW,24.2,10,50
repatriation insurance,remains-transport,390,8.4,MEDIUM,383.3,320,480
travel insurance repatriation of remains,remains-transport,10,19.77,HIGH,10.0,10,10
how to bring a body back from another country,remains-transport,,,,,,
international funeral home coordination,remains-transport,,,,,,
customs requirements for shipping remains,remains-transport,,,,,,
embalming requirements for international transport,remains-transport,,,,,,
empathy app,competitor-brands,170,0.55,LOW,170.8,140,210
empathy grief app,competitor-brands,,,,,,
empathy app reviews,competitor-brands,10,,LOW,13.3,10,20
cake end of life,competitor-brands,20,,LOW,20.8,10,30
cake end of life planning,competitor-brands,90,15.18,LOW,88.3,50,170
cake app end of life,competitor-brands,10,,,6.7,0,10
everplans,competitor-brands,1300,7.55,LOW,1125.0,1000,1600
everplans cost,competitor-brands,10,,LOW,12.5,10,20
ever loved,competitor-brands,1900,1.2,LOW,2033.3,1600,2900
ever loved reviews,competitor-brands,140,7.24,LOW,157.5,110,210
lantern end of life,competitor-brands,10,,LOW,11.7,10,20
lantern app end of life,competitor-brands,,,,,,
trust and will,competitor-brands,60500,6.01,MEDIUM,62958.3,49500,90500
trust and will reviews,competitor-brands,5400,6.53,MEDIUM,5300.0,3600,8100
farewill,competitor-brands,140,1.92,LOW,140.8,90,170
goodtrust,competitor-brands,1000,13.63,LOW,960.8,590,1300
goodtrust reviews,competitor-brands,90,5.74,LOW,85.0,50,110
gathered here,competitor-brands,14800,0.32,LOW,13500.0,12100,18100
grief app,competitor-brands,110,2.24,LOW,115.8,90,140
death planning app,competitor-brands,10,,LOW,10.0,10,10
estate app,competitor-brands,70,3.82,LOW,68.3,50,90
end of life planning app,competitor-brands,50,4.91,LOW,57.5,30,110
app for after someone dies,competitor-brands,,,,,,
app to help settle an estate,competitor-brands,,,,,,
empathy.com,competitor-brands,110,0.26,LOW,125.0,90,170
cake app,competitor-brands,590,0.89,LOW,584.2,480,720
cake vs everplans,competitor-brands,,,,,,
everplans vs trust and will,competitor-brands,,,,,,
farewill reviews,competitor-brands,10,,LOW,10.0,10,10
farewill cost,competitor-brands,10,,LOW,1.7,0,10
goodtrust vs everplans,competitor-brands,,,,,,
gathered here reviews,competitor-brands,10,,LOW,3.3,0,10
gathered here app,competitor-brands,,,,,,
lantern grief app,competitor-brands,,,,,,
clocr,competitor-brands,50,,LOW,54.2,40,70
clocr reviews,competitor-brands,,,,,,
wingspan estate planning,competitor-brands,,,,,,
willed app,competitor-brands,140,7.06,MEDIUM,140.0,110,170
cover me estate planning app,competitor-brands,,,,,,
afterword app,competitor-brands,10,,LOW,9.2,0,10
estateguru app,competitor-brands,10,,,6.7,0,10
lasting will app,competitor-brands,,,,,,
meal train,coordination-registry,60500,0.67,LOW,61625.0,60500,74000
meal train after death,coordination-registry,,,,,,
meal train sign up,coordination-registry,2400,2.04,MEDIUM,2291.7,1600,2900
memorial fund,coordination-registry,720,13.66,LOW,687.5,590,720
how to set up a memorial fund,coordination-registry,90,6.89,MEDIUM,86.7,50,110
funeral gofundme,coordination-registry,260,4.74,LOW,245.0,210,320
funeral gofundme examples,coordination-registry,20,,LOW,20.0,10,40
how to help a grieving friend,coordination-registry,480,3.2,LOW,500.0,390,590
what to bring to a grieving family,coordination-registry,110,1.36,HIGH,119.2,90,170
sympathy meal ideas,coordination-registry,40,2.73,HIGH,35.8,20,50
care calendar for grieving family,coordination-registry,,,,,,
how to organize help for grieving family,coordination-registry,,,,,,
casserole schedule funeral,coordination-registry,,,,,,
gift ideas for grieving family,coordination-registry,50,3.06,HIGH,53.3,20,90
how to coordinate meals for a family in need,coordination-registry,,,,,,
sign up genius meal train,coordination-registry,50,6.27,LOW,45.0,30,70
support a friend after a death,coordination-registry,,,,,,
what to say to someone who lost a parent,coordination-registry,4400,0.3,MEDIUM,4916.7,3600,5400
sympathy gift ideas after death,coordination-registry,,,,,,
care package for grieving family,coordination-registry,90,13.44,HIGH,98.3,50,140
how to organize a meal train,coordination-registry,140,2.05,MEDIUM,143.3,110,210
meal train ideas,coordination-registry,2900,0.37,MEDIUM,3033.3,2400,3600
meal train app,coordination-registry,5400,1.54,LOW,5033.3,3600,6600
takethemameal,coordination-registry,5400,5.74,LOW,5166.7,4400,6600
lotsa helping hands,coordination-registry,2900,16.02,LOW,2933.3,2400,3600
give in kind,coordination-registry,,,,,,
gofundme for funeral expenses,coordination-registry,320,3.45,LOW,335.8,210,590
how to ask for donations for funeral costs,coordination-registry,,,,,,
funeral expense fundraiser ideas,coordination-registry,,,,,,
help paying for funeral crowdfunding,coordination-registry,,,,,,
