keyword,stage,substage,search_volume,cpc,competition,vol_12mo_avg,vol_12mo_min,vol_12mo_max
form 1041 estate,executor,debt_tax,210,1.16,LOW,195.0,70,320
do you have to pay taxes on inheritance,executor,debt_tax,6600,1.01,LOW,6675.0,5400,8100
inheritance tax by state,executor,debt_tax,2900,1.26,LOW,2950.0,2400,3600
notify creditors of death,executor,debt_tax,70,0.36,LOW,64.2,40,90
probate notice to creditors,executor,debt_tax,50,,LOW,57.5,40,70
canceling deceased person's credit cards,executor,debt_tax,,,,,,
deceased person's utility bills,executor,debt_tax,,,,,,
how to find a will,executor,will_disputes,1300,3.05,MEDIUM,1350.0,1300,1600
where to find a deceased person's will,executor,will_disputes,,,,,,
reading of the will process,executor,will_disputes,,,,,,
contesting a will,executor,will_disputes,2900,6.47,LOW,2733.3,1600,12100
how to contest a will,executor,will_disputes,1000,4.22,MEDIUM,1105.0,880,1600
will dispute process,executor,will_disputes,,,,,,
does power of attorney end at death,executor,will_disputes,2400,2.14,LOW,2191.7,1900,2400
power of attorney ends at death,executor,will_disputes,110,1.72,LOW,102.5,70,140
probate in texas,executor,state_TX,590,4.46,LOW,544.2,480,590
texas probate process,executor,state_TX,260,3.88,LOW,253.3,210,320
texas small estate affidavit,executor,state_TX,2400,3.83,MEDIUM,2483.3,1900,2900
how long does probate take in texas,executor,state_TX,390,6,LOW,374.2,320,480
probate in california,executor,state_CA,260,7.08,MEDIUM,267.5,210,320
california probate process,executor,state_CA,260,2.91,LOW,282.5,210,480
california small estate affidavit,executor,state_CA,1600,3.3,LOW,1550.0,1300,1600
how long does probate take in california,executor,state_CA,480,6.37,LOW,432.5,320,590
probate in florida,executor,state_FL,390,9.51,MEDIUM,429.2,390,590
florida probate process,executor,state_FL,260,6.65,MEDIUM,247.5,170,390
florida small estate affidavit,executor,state_FL,1000,4.26,MEDIUM,1055.0,880,1300
how long does probate take in florida,executor,state_FL,480,4.9,LOW,500.0,390,590
probate in new york,executor,state_NY,390,3.56,LOW,396.7,320,590
new york probate process,executor,state_NY,170,3.41,MEDIUM,160.0,140,170
new york small estate affidavit,executor,state_NY,880,3.24,LOW,886.7,720,1000
how long does probate take in new york,executor,state_NY,320,3.24,LOW,295.0,260,320
probate in ohio,executor,state_OH,210,2.74,LOW,213.3,170,260
ohio probate process,executor,state_OH,110,1.32,LOW,109.2,70,210
ohio small estate affidavit,executor,state_OH,480,3.52,MEDIUM,510.8,390,590
how long does probate take in ohio,executor,state_OH,210,3.84,LOW,216.7,170,320
probate in pennsylvania,executor,state_PA,90,8.66,LOW,80.8,50,140
pennsylvania probate process,executor,state_PA,170,2.43,LOW,168.3,140,210
pennsylvania small estate affidavit,executor,state_PA,390,2.62,LOW,355.8,260,390
how long does probate take in pennsylvania,executor,state_PA,50,0.15,LOW,50.0,40,70
probate in illinois,executor,state_IL,480,3.15,LOW,468.3,390,590
illinois probate process,executor,state_IL,480,3.15,LOW,468.3,390,590
illinois small estate affidavit,executor,state_IL,1600,2.87,LOW,1550.0,1300,1900
how long does probate take in illinois,executor,state_IL,170,0.02,LOW,165.0,140,170
probate in georgia,executor,state_GA,720,8.04,LOW,703.3,590,880
georgia probate process,executor,state_GA,90,5.14,MEDIUM,101.7,70,140
georgia small estate affidavit,executor,state_GA,210,3.25,LOW,205.0,170,260
how long does probate take in georgia,executor,state_GA,140,0.89,LOW,125.8,90,170
probate in north carolina,executor,state_NC,390,2.46,LOW,364.2,320,480
north carolina probate process,executor,state_NC,170,6.25,MEDIUM,158.3,140,210
north carolina small estate affidavit,executor,state_NC,480,3.02,LOW,490.8,390,590
how long does probate take in north carolina,executor,state_NC,40,,LOW,37.5,30,50
probate in michigan,executor,state_MI,210,9.41,MEDIUM,207.5,170,260
michigan probate process,executor,state_MI,90,5.6,MEDIUM,85.0,70,110
michigan small estate affidavit,executor,state_MI,880,4.99,LOW,893.3,720,1000
how long does probate take in michigan,executor,state_MI,170,6.57,LOW,160.8,110,210
probate in arizona,executor,state_AZ,320,9.14,MEDIUM,300.0,210,480
arizona probate process,executor,state_AZ,90,5.69,LOW,79.2,50,140
arizona small estate affidavit,executor,state_AZ,880,3.85,LOW,906.7,720,1000
how long does probate take in arizona,executor,state_AZ,110,4.72,LOW,107.5,90,140
probate in virginia,executor,state_VA,320,4.76,LOW,316.7,260,390
virginia probate process,executor,state_VA,110,2.59,LOW,105.0,90,140
virginia small estate affidavit,executor,state_VA,1300,4.13,LOW,1225.0,1000,1600
how long does probate take in virginia,executor,state_VA,90,2.46,LOW,100.0,70,140
probate in washington state,executor,state_WA,720,4.88,LOW,762.5,590,880
washington state probate process,executor,state_WA,140,3.45,LOW,147.5,90,210
washington state small estate affidavit,executor,state_WA,1300,3.42,MEDIUM,1250.0,1000,1600
how long does probate take in washington state,executor,state_WA,210,1.64,LOW,197.5,170,260
probate lawyer cost texas,executor,state_TX,10,,LOW,10.0,10,10
does texas require probate,executor,state_TX,,,,,,
california probate threshold,executor,state_CA,90,0.47,LOW,78.3,50,110
probate lawyer cost california,executor,state_CA,10,,MEDIUM,8.3,0,10
estate planning,pre-need,estate_planning_general,33100,6.66,LOW,36800.0,33100,40500
estate planning checklist,pre-need,estate_planning_general,1600,3.56,MEDIUM,1450.0,1000,1900
estate planning cost,pre-need,estate_planning_general,1300,6.05,MEDIUM,1325.0,1000,1900
estate planning attorney,pre-need,estate_planning_general,368000,6.49,LOW,364916.7,301000,450000
estate planning attorney near me,pre-need,estate_planning_general,40500,6.49,MEDIUM,43491.7,27100,74000
how much does estate planning cost,pre-need,estate_planning_general,880,4.87,LOW,873.3,720,1000
estate planning for dummies,pre-need,estate_planning_general,320,2.31,HIGH,350.0,260,590
estate planning documents,pre-need,estate_planning_general,5400,4.62,LOW,5483.3,2900,8100
estate planning checklist for parents,pre-need,estate_planning_general,,,,,,
online estate planning,pre-need,estate_planning_general,1300,13.56,MEDIUM,1300.0,720,2900
do it yourself estate planning,pre-need,estate_planning_general,50,3.57,HIGH,56.7,30,70
when should you start estate planning,pre-need,estate_planning_general,20,6.74,LOW,22.5,10,30
estate planning for young families,pre-need,estate_planning_general,30,9.57,LOW,34.2,20,70
estate planning for married couples,pre-need,estate_planning_general,880,14.61,LOW,806.7,720,1000
estate planning checklist pdf,pre-need,estate_planning_general,170,5.17,MEDIUM,158.3,70,260
estate planning software,pre-need,estate_planning_general,1900,28.05,LOW,2100.0,1000,2900
estate planning lawyer cost near me,pre-need,estate_planning_general,,,,,,
estate planning for high net worth,pre-need,estate_planning_general,320,50.48,LOW,360.8,210,720
when to update your will,pre-need,estate_planning_general,10,,LOW,11.7,10,30
how often should you update your estate plan,pre-need,estate_planning_general,,,,,,
estate planning after divorce,pre-need,estate_planning_general,170,,LOW,167.5,110,210
estate planning after remarriage,pre-need,estate_planning_general,,,,,,
second marriage estate planning,pre-need,estate_planning_general,390,,LOW,401.7,320,590
last will and testament,pre-need,wills,12100,5.23,MEDIUM,12225.0,9900,14800
how to write a will,pre-need,wills,6600,2.53,MEDIUM,6475.0,5400,8100
how to make a will,pre-need,wills,6600,4.17,MEDIUM,6825.0,5400,9900
cost of making a will,pre-need,wills,390,2.91,MEDIUM,381.7,320,480
online will maker,pre-need,wills,3600,8.77,LOW,3808.3,1900,9900
free will template,pre-need,wills,4400,3.65,MEDIUM,4216.7,2900,5400
will vs trust,pre-need,wills,18100,2.67,MEDIUM,19808.3,18100,22200
who needs a will,pre-need,wills,90,2.91,LOW,91.7,50,140
what happens if i die without a will,pre-need,wills,260,0.79,LOW,276.7,210,320
guardian for minor children in a will,pre-need,wills,,,,,,
naming a guardian for children,pre-need,wills,,,,,,
legalzoom will cost,pre-need,wills,320,5.56,MEDIUM,312.5,210,390
rocket lawyer will cost,pre-need,wills,50,5.64,MEDIUM,46.7,20,90
pour over will,pre-need,wills,8100,3.59,LOW,8158.3,5400,12100
living trust,pre-need,trusts,33100,5.1,MEDIUM,34450.0,27100,40500
revocable living trust,pre-need,trusts,33100,3.32,MEDIUM,30933.3,22200,40500
what is a living trust,pre-need,trusts,18100,1.9,MEDIUM,16175.0,14800,18100
living trust vs will,pre-need,trusts,12100,3.44,MEDIUM,12408.3,9900,14800
how to set up a living trust,pre-need,trusts,2400,2.98,MEDIUM,2483.3,1900,2900
irrevocable trust,pre-need,trusts,40500,3.45,MEDIUM,43633.3,33100,49500
trust fund,pre-need,trusts,27100,12.46,LOW,26875.0,22200,33100
setting up a trust,pre-need,trusts,4400,7.25,MEDIUM,5000.0,3600,5400
revocable trust vs irrevocable trust,pre-need,trusts,22200,1.75,MEDIUM,24241.7,22200,27100
living trust cost,pre-need,trusts,3600,4.74,MEDIUM,3266.7,2400,3600
how much does a trust cost,pre-need,trusts,2900,3.1,LOW,2733.3,2400,2900
family trust,pre-need,trusts,12100,1.03,LOW,11958.3,9900,14800
special needs trust,pre-need,trusts,12100,4.25,LOW,11408.3,9900,14800
charitable trust,pre-need,trusts,1600,6.58,LOW,1700.0,1300,1900
trust and will reviews,pre-need,trusts,5400,6.53,MEDIUM,5300.0,3600,8100
will and trust package cost,pre-need,trusts,,,,,,
power of attorney,pre-need,poa_directives,90500,4.48,MEDIUM,86375.0,74000,90500
durable power of attorney,pre-need,poa_directives,49500,3.38,MEDIUM,47883.3,33100,60500
medical power of attorney,pre-need,poa_directives,18100,4.23,MEDIUM,18575.0,14800,22200
power of attorney form,pre-need,poa_directives,33100,4.3,HIGH,37183.3,27100,49500
how to get power of attorney,pre-need,poa_directives,12100,3.33,MEDIUM,13000.0,12100,14800
power of attorney for elderly parent,pre-need,poa_directives,1900,5.28,LOW,2075.0,1600,2900
power of attorney vs guardianship,pre-need,poa_directives,2400,4.91,LOW,2525.0,2400,2900
how to choose a power of attorney,pre-need,poa_directives,50,1.11,LOW,45.0,20,70
advance directive,pre-need,poa_directives,60500,2.57,LOW,68375.0,60500,74000
advance healthcare directive,pre-need,poa_directives,60500,2.57,LOW,68375.0,60500,74000
living will,pre-need,poa_directives,33100,3.76,MEDIUM,30100.0,27100,33100
what is a living will,pre-need,poa_directives,12100,1.27,LOW,13000.0,12100,14800
healthcare proxy,pre-need,poa_directives,14800,2.39,LOW,14350.0,12100,14800
do not resuscitate order,pre-need,poa_directives,480,1.48,LOW,521.7,390,720
dnr order,pre-need,poa_directives,1000,1.71,LOW,1005.0,880,1300
beneficiary designation,pre-need,beneficiary,2400,8.15,LOW,2500.0,1900,3600
how to update beneficiary designations,pre-need,beneficiary,,,,,,
transfer on death designation,pre-need,beneficiary,90,1.19,LOW,82.5,50,140
payable on death account,pre-need,beneficiary,590,1.86,LOW,620.8,390,1000
get affairs in order,pre-need,affairs_in_order,140,2.94,LOW,140.0,110,170
how to get my affairs in order,pre-need,affairs_in_order,20,,LOW,22.5,10,30
affairs in order checklist,pre-need,affairs_in_order,20,1.51,LOW,15.0,10,30
end of life planning checklist,pre-need,affairs_in_order,720,2.66,HIGH,669.2,480,1300
end of life planning,pre-need,affairs_in_order,1600,4.33,MEDIUM,1600.0,1300,1900
how to talk to parents about estate planning,pre-need,affairs_in_order,20,,LOW,15.8,10,20
talking to elderly parents about finances,pre-need,affairs_in_order,10,,,9.2,0,10
checklist for aging parents,pre-need,affairs_in_order,140,1.99,MEDIUM,145.8,110,210
what documents do elderly parents need,pre-need,affairs_in_order,,,,,,
important documents for aging parents,pre-need,affairs_in_order,,,,,,
aging parent finances checklist,pre-need,affairs_in_order,,,,,,
helping elderly parents with paperwork,pre-need,affairs_in_order,,,,,,
caring for aging parents financially,pre-need,affairs_in_order,10,,LOW,1.7,0,10
digital estate planning,pre-need,affairs_in_order,390,8.83,LOW,386.7,320,590
password manager for after death,pre-need,affairs_in_order,,,,,,
funeral pre planning,pre-need,funeral_preplan,880,9.04,LOW,905.0,720,1300
prepaid funeral plans,pre-need,funeral_preplan,1900,9.04,MEDIUM,1758.3,1000,2400
pre need funeral arrangements,pre-need,funeral_preplan,90,8.77,LOW,85.0,30,260
funeral trust,pre-need,funeral_preplan,480,4.15,LOW,473.3,320,590
estate tax exemption,pre-need,tax_elder_law,2900,5.22,LOW,2791.7,1900,8100
gift tax exemption,pre-need,tax_elder_law,1900,1.96,LOW,1775.0,1300,2900
annual gift tax exclusion,pre-need,tax_elder_law,2400,2.87,LOW,2500.0,1900,3600
succession planning family business,pre-need,tax_elder_law,2900,13.99,LOW,2866.7,1000,9900
retirement and estate planning,pre-need,tax_elder_law,210,25.57,MEDIUM,211.7,140,320
long term care planning,pre-need,tax_elder_law,590,5.26,LOW,539.2,320,880
long term care insurance,pre-need,tax_elder_law,74000,9.03,MEDIUM,72208.3,49500,90500
medicaid planning for nursing home,pre-need,tax_elder_law,210,0.39,LOW,193.3,90,390
medicaid asset protection trust,pre-need,tax_elder_law,14800,6.16,LOW,14816.7,9900,18100
elder law attorney,pre-need,tax_elder_law,27100,9.23,LOW,24966.7,18100,33100
elder law attorney near me,pre-need,tax_elder_law,22200,7.19,MEDIUM,23900.0,18100,27100
nursing home planning checklist,pre-need,tax_elder_law,,,,,,
how to protect assets from nursing home costs,pre-need,tax_elder_law,50,0.48,LOW,45.8,20,70
five year lookback medicaid,pre-need,tax_elder_law,170,,LOW,178.3,90,210
